policy,total_reward_mean,total_reward_std,avg_ambulance_latency_ms_mean,avg_ambulance_latency_ms_std,p95_ambulance_latency_ms_mean,p95_ambulance_latency_ms_std,sla_violation_rate_mean,sla_violation_rate_std,avg_ordinary_throughput_mbps_mean,avg_ordinary_throughput_mbps_std,ordinary_throughput_deficit_rate_mean,ordinary_throughput_deficit_rate_std,avg_prb_utilization_mean,avg_prb_utilization_std
DQN-300k,57.17491899055066,75.94674082020558,24.54554381822194,9.026712633550845,94.72054085360736,20.398054234279474,0.053000000000000005,0.03390147997990038,10.400895855210623,3.1655241540578505,0.38049999999999995,0.3218008326000244,0.44578576450560164,0.13102255299254034
GreedySLAPolicy,-24.266866856292683,172.09106780835828,29.25184911672215,18.23574601877641,117.4221587219984,59.20510923699052,0.077,0.06026664886582994,9.896836034768423,2.4404101934928977,0.2445,0.3273860686269874,0.42265083548381865,0.09636298687169802
LoadBasedPolicy,-73.51227231368289,167.3895246931648,39.63116294632035,15.182181834088148,123.57202915380184,33.37525627965109,0.1,0.07152284419246283,12.152100673645338,3.8359366310679124,0.22016666666666665,0.30514971829368065,0.5181698108090532,0.15917547684864708
PriorityPolicy,9.247255760581924,70.08769524307091,25.609429217605804,9.076148389075092,94.63313189774507,24.654040666813692,0.05633333333333333,0.029211869733608856,9.30024719718615,2.9532446464772404,0.7433333333333334,0.2367937169094993,0.4008212366542624,0.12092137683826527
RandomPolicy,-307.1287900441296,251.52386496666094,50.94868853388005,25.334766019142382,241.043420677817,114.64361258544137,0.155,0.07992453337044113,9.889524307594298,3.336152565796918,0.5078333333333334,0.3207525723103061,0.42526715481479205,0.13541779482923616
StaticPolicy,-267.75891163667654,259.20846979849017,43.07680160472551,19.70154580546219,196.27020005969518,54.5453926811191,0.18383333333333332,0.10033292282346236,13.217634542407989,2.6773179888457874,0.07050000000000001,0.12689494704757512,0.5616762044814759,0.1126018403786873
